sample_index,alpha_lpa,beta_lpa,lrr_lpa,alpha_rpa,beta_rpa,lrr_rpa,constant_indicator_lpa,constant_indicator_rpa,eh_lpa,eh_rpa,k1_lpa,k2_lpa,k3_lpa,k1_rpa,k2_rpa,k3_rpa,compliance_label_lpa,compliance_label_rpa,mpa_systolic,mpa_diastolic,mpa_mean,rpa_split,lpa_split
20,0.6039700944164389,0.3791248625051752,6.276733933740645,0.4871800451940631,0.7513799209962349,6.594062698074789,1.0,0.0,85006.37958170651,0.0,0.0,0.0,0.0,23539973.987895828,-28.857290170521757,1077160.3340193427,Constant (8.50e+04),Olufsen,3944.8456632920675,4.0160261162666515,816.5116901811602,0.49690334780297135,0.5030966521970286
21,0.4130348593725357,0.6608881780420571,13.15857265949522,0.1867327037905452,0.7786609046625532,19.314218167865754,0.0,1.0,0.0,135843.89862887026,21648515.28149577,-37.7702145625978,1152590.8314444306,0.0,0.0,0.0,Olufsen,Constant (1.36e+05),4008.4840361024208,1.356880493426405,840.2351262885362,0.49072371483763316,0.5092762851623669
22,0.3666128023401317,0.21564985490410699,17.17690327999015,0.2774416826766476,0.7619558658365051,3.7566276239451253,1.0,0.0,76243.59621622086,0.0,0.0,0.0,0.0,13048618.368167384,-31.38444372197983,1437624.3370041735,Constant (7.62e+04),Olufsen,3963.0766886758406,2.597925269838152,821.1624736595247,0.4960700823241028,0.5039299176758971
23,0.7574100391834712,0.3007734288422279,13.818575061179374,0.7381775763794834,0.5765789483754508,14.839767678142596,0.0,0.0,0.0,0.0,20711693.70037351,-33.86599368898149,1210872.4202871479,20810153.7456929,-29.907013232711385,904201.6851807036,Olufsen,Olufsen,3975.066145001034,3.404102892693146,824.947984881103,0.5008458125402897,0.4991541874597103
24,0.3110796175572688,0.5325262514831844,18.912156362517212,0.7844643547264138,0.5854986941121699,3.9043973444563367,1.0,1.0,74579.40397889956,148205.80073182652,0.0,0.0,0.0,0.0,0.0,0.0,Constant (7.46e+04),Constant (1.48e+05),3951.812709761426,2.1152331386589895,818.1716742365827,0.4958083255174808,0.5041916744825192
25,0.33193156030899407,0.4465432621911233,17.87396247279914,0.617074066392545,0.27320927561949837,13.867973965285168,0.0,0.0,0.0,0.0,24936042.544325646,-32.9311349488405,1397060.6548965084,12045526.471321419,-24.22808168701461,1337845.732505198,Olufsen,Olufsen,4373.875736308931,-353.98375098011894,876.198681515312,0.3334767899585989,0.6665232100414011
26,0.5959768636962194,0.7493503901307742,19.9317824071494,0.659569030162079,0.3152112056714448,5.002269018136074,1.0,0.0,107403.12716353405,0.0,0.0,0.0,0.0,13970235.484094553,-37.1772968449705,669434.2957161117,Constant (1.07e+05),Olufsen,3948.3337269465947,3.5829324421511726,817.2477426467775,0.5006893051478685,0.49931069485213153
27,0.2889099493804942,0.20165891811557507,6.918960733593407,0.3823098345796697,0.14716486108327737,12.911359597940248,0.0,0.0,0.0,0.0,22536359.65812215,-29.786996837985594,988215.4897956253,11925849.352576938,-28.280565121594258,1406395.9946867314,Olufsen,Olufsen,4251.453235099084,-218.05065521720488,843.9597005452977,0.3587214303763846,0.6412785696236154
28,0.5850136621345338,0.7288612255642012,16.349385289347754,0.3078330456726872,0.4802875699761384,5.586052424239963,1.0,0.0,146549.32024372788,0.0,0.0,0.0,0.0,11500579.556497792,-23.398625173243435,992427.9920950795,Constant (1.47e+05),Olufsen,3950.1816232405654,3.790961097381163,817.9653594831703,0.5014788660946463,0.4985211339053537
29,0.5651907483793988,0.23333829900670025,14.331240412244819,0.5326603449471555,0.40670332244286866,7.12839341875861,1.0,0.0,50035.19019566712,0.0,0.0,0.0,0.0,29417328.384405036,-17.968635545924617,1567787.8580436343,Constant (5.00e+04),Olufsen,3983.966611123952,-2.4604550603333664,826.814105252231,0.5153851278955291,0.48461487210447085
