parameter,branch,compliance_model,parameter_value,baseline_parameter_value,delta_parameter,relative_parameter_change,metric,metric_value,baseline_metric_value,delta_metric,relative_metric_change,sensitivity
alpha,lpa,constant,0.26,0.8,-0.54,-0.675,rpa_split,0.49690551272425065,0.5,-0.003094487275749347,-0.006188974551498694,0.009168851187405472
alpha,lpa,constant,0.26,0.8,-0.54,-0.675,lpa_split,0.5030944872757493,0.5,0.003094487275749347,0.006188974551498694,-0.009168851187405472
alpha,lpa,constant,0.28,0.8,-0.52,-0.65,mpa_systolic,3972.2925769715707,3930.6512619063146,41.641315065256094,0.010593998879732872,-0.01629845981497365
alpha,lpa,constant,0.28,0.8,-0.52,-0.65,mpa_diastolic,-1.6631808166070916,4.679746225352589,-6.342927041959681,-1.3553997880476483,2.085230443150228
alpha,lpa,constant,0.28,0.8,-0.52,-0.65,mpa_mean,822.1096562185375,812.7413177002337,9.368338518303744,0.01152683924672709,-0.0177335988411186
alpha,lpa,constant,0.28,0.8,-0.52,-0.65,rpa_split,0.48706018058791095,0.5,-0.012939819412089049,-0.025879638824178097,0.039814828960273996
alpha,lpa,constant,0.28,0.8,-0.52,-0.65,lpa_split,0.5129398194120891,0.5,0.012939819412089104,0.02587963882417821,-0.03981482896027416
alpha,lpa,constant,0.3,0.8,-0.5,-0.625,mpa_systolic,3965.405654102958,3930.6512619063146,34.754392196643494,0.008841891554578684,-0.014147026487325895
alpha,lpa,constant,0.3,0.8,-0.5,-0.625,mpa_diastolic,-0.11495665626965504,4.679746225352589,-4.794702881622244,-1.0245647201224022,1.6393035521958434
alpha,lpa,constant,0.3,0.8,-0.5,-0.625,mpa_mean,820.6483029281086,812.7413177002337,7.906985227874884,0.009728784615317473,-0.015566055384507957
alpha,lpa,constant,0.3,0.8,-0.5,-0.625,rpa_split,0.49034098650301045,0.5,-0.009659013496989555,-0.01931802699397911,0.030908843190366575
alpha,lpa,constant,0.3,0.8,-0.5,-0.625,lpa_split,0.5096590134969896,0.5,0.00965901349698961,0.01931802699397922,-0.030908843190366752
alpha,lpa,constant,0.32,0.8,-0.48000000000000004,-0.6,mpa_systolic,3953.666436143711,3930.6512619063146,23.015174237396423,0.005855308116608229,-0.009758846861013715
alpha,lpa,constant,0.32,0.8,-0.48000000000000004,-0.6,mpa_diastolic,2.0189866167572563,4.679746225352589,-2.6607596085953324,-0.5685692087704737,0.9476153479507895
alpha,lpa,constant,0.32,0.8,-0.48000000000000004,-0.6,mpa_mean,818.1569798956017,812.7413177002337,5.415662195367986,0.006663451306612991,-0.011105752177688319
alpha,lpa,constant,0.32,0.8,-0.48000000000000004,-0.6,rpa_split,0.494897834014379,0.5,-0.005102165985621021,-0.010204331971242042,0.017007219952070073
alpha,lpa,constant,0.32,0.8,-0.48000000000000004,-0.6,lpa_split,0.505102165985621,0.5,0.005102165985620966,0.010204331971241931,-0.017007219952069885
alpha,lpa,constant,0.34,0.8,-0.46,-0.575,mpa_systolic,3948.8153042882864,3930.6512619063146,18.16404238197174,0.004621127943353188,-0.008036744249309892
alpha,lpa,constant,0.34,0.8,-0.46,-0.575,mpa_diastolic,2.7859320127541816,4.679746225352589,-1.8938142125984072,-0.4046831006217053,0.7037966967334006
alpha,lpa,constant,0.34,0.8,-0.46,-0.575,mpa_mean,817.1055768968797,812.7413177002337,4.364259196646003,0.005369801069047764,-0.009338784467909155
alpha,lpa,constant,0.34,0.8,-0.46,-0.575,rpa_split,0.49651013780872044,0.5,-0.003489862191279558,-0.006979724382559116,0.012138651100102812
alpha,lpa,constant,0.34,0.8,-0.46,-0.575,lpa_split,0.5034898621912796,0.5,0.003489862191279558,0.006979724382559116,-0.012138651100102812
alpha,lpa,constant,0.36,0.8,-0.44000000000000006,-0.55,mpa_systolic,3944.8951270228467,3930.6512619063146,14.243865116532106,0.003623792640821566,-0.006588713892402847
alpha,lpa,constant,0.36,0.8,-0.44000000000000006,-0.55,mpa_diastolic,3.353242226297026,4.679746225352589,-1.326503999055563,-0.28345639596207367,0.5153752653855884
