K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs,K_0,K_1,K_2,K_3
1e-06,0.0,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.2687990069095929,1.0000371083409902,85.99666868024428,0,976,1e-06,0.0,1e-07,0.0
1e-06,1e-07,0.0,0.0,0.7925915658092677,0.6969591934750073,0.11655868522867402,0.9999996690799637,0.323890420550345,0,1025,1e-06,1e-07,0.0,0.0
1e-06,1e-07,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6953703754060214,0.023732422517728727,0.0,1,44,1e-06,1e-07,1e-07,1e-07
1e-06,1e-07,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.11744863894916566,0.9999992614552216,0.32293369981531284,0,876,1e-06,1e-07,1e-07,0.0
1e-06,1e-07,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6953698581388745,0.023624012987669238,0.0,1,44,1e-06,1e-07,1e-06,1e-07
0.0,1e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.4455584132156931,0.7945696448382978,3337.8766170112244,0,39586,0.0,1e-07,1e-07,1e-06
1e-06,1e-06,0.0,0.0,0.7925915658092677,0.6969591934750073,0.11416543558861524,0.9999987666802835,0.032593175030585085,0,822,1e-06,1e-06,0.0,0.0
1e-06,1e-06,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.2390346648227957,0.57315945023469,0.04838419134756901,1,723,1e-06,1e-06,0.0,1e-07
1e-06,1e-06,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6953751971302419,0.023803616808386073,0.0,1,44,1e-06,1e-06,0.0,1e-06
1e-06,1e-06,1e-07,0.0,0.7925915658092677,0.6969591934750073,0.11425325146250905,0.9999987550892574,0.03258364994259562,0,802,1e-06,1e-06,1e-07,0.0
1e-06,1e-06,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.08167532023206757,1.004823363152468,0.10798767524593375,0,1068,1e-06,1e-06,1e-07,1e-07
1e-06,1e-06,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6953751914999542,0.023802406977400197,0.0,1,44,1e-06,1e-06,1e-07,1e-06
1e-06,1e-06,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.10764355868192729,0.9999994864628414,0.09135979184521281,0,1017,1e-06,1e-06,1e-06,1e-07
1e-06,1e-06,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6953751407820846,0.02379151918449987,0.0,1,44,1e-06,1e-06,1e-06,1e-06
1e-07,1e-07,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.31859583108636313,0.9019325971891113,602.0738806360373,1,62199,1e-07,1e-07,1e-07,1e-06
