name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,1.0752688172043011e-01,2.4158122609139019e+02,2.4158122609139019e+02,6.7396402239114838e+05,6.7154821013023448e+05
branch0_seg0,1.0850439882697947e-01,2.4355231897851894e+02,2.4355231897851894e+02,6.7939771666338691e+05,6.7696219347360183e+05
branch0_seg0,1.0948191593352884e-01,2.4549139593761834e+02,2.4549139593761834e+02,6.8474315291090752e+05,6.8228823895153136e+05
branch0_seg0,1.1045943304007820e-01,2.4740493482581854e+02,2.4740493482581854e+02,6.9001818858498230e+05,6.8754413923672412e+05
branch0_seg0,1.1143695014662756e-01,2.4929994321646453e+02,2.4929994321646453e+02,6.9524214140087238e+05,6.9274914196870767e+05
branch0_seg0,1.1241446725317693e-01,2.5118130118575993e+02,2.5118130118575993e+02,7.0042846422134689e+05,6.9791665120948944e+05
branch0_seg0,1.1339198435972629e-01,2.5304995860903401e+02,2.5304995860903401e+02,7.0557977555929765e+05,7.0304927597320732e+05
branch0_seg0,1.1436950146627566e-01,2.5490259081297199e+02,2.5490259081297199e+02,7.1068691031729802e+05,7.0813788440916827e+05
branch0_seg0,1.1534701857282502e-01,2.5673277829057645e+02,2.5673277829057645e+02,7.1573217189736897e+05,7.1316484411446319e+05
branch0_seg0,1.1632453567937438e-01,2.5853323142021384e+02,2.5853323142021384e+02,7.2069546506423515e+05,7.1811013275003305e+05
branch0_seg0,1.1730205278592376e-01,2.6029822502411099e+02,2.6029822502411099e+02,7.2556100727112917e+05,7.2295802502088808e+05
branch0_seg0,1.1827956989247312e-01,2.6202536250339915e+02,2.6202536250339915e+02,7.3032219183521520e+05,7.2770193821018119e+05
branch0_seg0,1.1925708699902249e-01,2.6371606233966224e+02,2.6371606233966224e+02,7.3498292907208833e+05,7.3234576844869170e+05
branch0_seg0,1.2023460410557185e-01,2.6537464315683013e+02,2.6537464315683013e+02,7.3955512409401755e+05,7.3690137766244926e+05
branch0_seg0,1.2121212121212122e-01,2.6700639632612774e+02,2.6700639632612774e+02,7.4405336357710732e+05,7.4138329961384612e+05
branch0_seg0,1.2218963831867058e-01,2.6861539042895157e+02,2.6861539042895157e+02,7.4848886334359192e+05,7.4580270943930233e+05
branch0_seg0,1.2316715542521994e-01,2.7020282494254411e+02,2.7020282494254411e+02,7.5286492998174333e+05,7.5016290173231799e+05
branch0_seg0,1.2414467253176931e-01,2.7176652234092523e+02,2.7176652234092523e+02,7.5717556072501314e+05,7.5445789550160384e+05
branch0_seg0,1.2512218963831867e-01,2.7330170978178774e+02,2.7330170978178774e+02,7.6140759832136345e+05,7.5867458122354548e+05
branch0_seg0,1.2609970674486803e-01,2.7480275955777415e+02,2.7480275955777415e+02,7.6554552891985641e+05,7.6279750132427877e+05
branch0_seg0,1.2707722385141740e-01,2.7626520971040776e+02,2.7626520971040776e+02,7.6957705227915151e+05,7.6681440018204739e+05
branch0_seg0,1.2805474095796676e-01,2.7768729770404536e+02,2.7768729770404536e+02,7.7349730963287968e+05,7.7072043665583921e+05
branch0_seg0,1.2903225806451613e-01,2.7907043806266643e+02,2.7907043806266643e+02,7.7731020038674411e+05,7.7451949600611744e+05
branch0_seg0,1.3000977517106549e-01,2.8041848067667570e+02,2.8041848067667570e+02,7.8102633749946312e+05,7.7822215269269631e+05
branch0_seg0,1.3098729227761485e-01,2.8173604627678054e+02,2.8173604627678054e+02,7.8465845889837760e+05,7.8184109843560983e+05
branch0_seg0,1.3196480938416422e-01,2.8302657823053994e+02,2.8302657823053994e+02,7.8821605688428367e+05,7.8538579110197828e+05
branch0_seg0,1.3294232649071358e-01,2.8429085010411933e+02,2.8429085010411933e+02,7.9170126394016610e+05,7.8885835543912498e+05
branch0_seg0,1.3391984359726294e-01,2.8552649233278510e+02,2.8552649233278510e+02,7.9510754790794896e+05,7.9225228298462101e+05
branch0_seg0,1.3489736070381231e-01,2.8672871726461966e+02,2.8672871726461966e+02,7.9842171071007208e+05,7.9555442353742593e+05
branch0_seg0,1.3587487781036167e-01,2.8789197406040449e+02,2.8789197406040449e+02,8.0162845039731532e+05,7.9874953065671131e+05
branch0_seg0,1.3685239491691104e-01,2.8901191957413141e+02,2.8901191957413141e+02,8.0471579425761488e+05,8.0182567506187363e+05
branch0_seg0,1.3782991202346040e-01,2.9008697504627662e+02,2.9008697504627662e+02,8.0767939013860049e+05,8.0477852038813755e+05
branch0_seg0,1.3880742913000976e-01,2.9111889230017130e+02,2.9111889230017130e+02,8.1052406727610412e+05,8.0761287835310237e+05
branch0_seg0,1.3978494623655913e-01,2.9211211851963435e+02,2.9211211851963435e+02,8.1326208518230007e+05,8.1034096399710362e+05
branch0_seg0,1.4076246334310849e-01,2.9307218983936815e+02,2.9307218983936815e+02,8.1590870527059864e+05,8.1297798337220505e+05
branch0_seg0,1.4173998044965788e-01,2.9400373855508690e+02,2.9400373855508690e+02,8.1847669734949339e+05,8.1553665996394248e+05
branch0_seg0,1.4271749755620725e-01,2.9490883756619894e+02,2.9490883756619894e+02,8.2097177576238965e+05,8.1802268738672766e+05
branch0_seg0,1.4369501466275661e-01,2.9578627960411347e+02,2.9578627960411347e+02,8.2339061244267551e+05,8.2043274964663433e+05
branch0_seg0,1.4467253176930597e-01,2.9663204601760742e+02,2.9663204601760742e+02,8.2572212921018223e+05,8.2275580875000602e+05
branch0_seg0,1.4565004887585534e-01,2.9744078718769708e+02,2.9744078718769708e+02,8.2795157881772495e+05,8.2497717094584799e+05
branch0_seg0,1.4662756598240470e-01,2.9820777238818948e+02,2.9820777238818948e+02,8.3006592011438427e+05,8.2708384239050245e+05
branch0_seg0,1.4760508308895406e-01,2.9893060290468702e+02,2.9893060290468702e+02,8.3205854058546363e+05,8.2906923455641663e+05
